songs,artists
Diamond,Kasumi Nakasu
Evergreen,Emma Verde
Anata no Risou no Heroine,Shizuku Osaka
CHASE!,Setsuna Yuki
Meccha Going!!,Ai Miyashita
Nemureru Mori ni Ikitai na,Kanata Konoe
Starlight,Karin Asaka
TOKIMEKI Runners,Nijigasaki High School Idol Club
Doki Pipo ☆ Emotion,Rina Tennoji
Believe again,Saint Snow
Yume e no Ippo,Ayumu Uehara
Awaken the power,Saint Aqours Snow
CRASH MIND,Saint Snow
Over The Next Rainbow,Saint Aqours Snow
DROPOUT!?,Saint Snow
"""MY LIST"" to you!",Aqours
Aozora Jumping Heart,Aqours
Awaken the power,Saint Aqours Snow
Aqours☆HEROES,Aqours
Bokura no Hashittekita Michi wa…,Aqours
Beginner's Sailing,You Watanabe
Brightest Melody,Aqours
SELF CONTROL!!,Saint Snow
Daisuki dattara Daijoubu!,"Chika Takami, Riko Sakurauchi, and You Watanabe"
Daydream Warrior,Aqours
GALAXY HidE and SeeK,AZALEA
G Senjou no Cinderella,"Kanan Matsuura, Dia Kurosawa, and Mari Ohara"
"Guilty Night, Guilty Kiss!",Guilty Kiss
Hajimari Road,"Yoshiko Tsushima, Hanamaru Kunikida, and Ruby Kurosawa"
Guilty!? Farewell party,Guilty Kiss
Guilty Eyes Fever,Guilty Kiss
Hop? Stop? Nonstop!,Aqours
HAPPY PARTY TRAIN,Aqours
Hop・Step・Waai!,Aqours
Genki Zenkai DAY! DAY! DAY!,CYaRon!
Humming Friend,Aqours
in this unstable world,Yoshiko Tsushima
"I-n-g, I TRY!!",Aqours
INNOCENT BIRD,AZALEA
Jimo Ai ♡ Mantan ☆ Summer Life,You Watanabe and Yoshiko Tsushima
Kaigandoori de Matteru yo,CYaRon!
Jingle Bells ga Tomaranai,Aqours
Jump up HIGH!!,Aqours
Kimi no Hitomi o Meguru Bouken,Aqours
Kimeta yo Hand in Hand,"Chika Takami, Riko Sakurauchi, and You Watanabe"
Kinmirai Happy End,CYaRon!
Kimi no Kokoro wa Kagayaiteru kai?,Aqours
Kiseki Hikaru,Aqours
"KOKORO Magic ""A to Z""",Aqours
Koi ni Naritai AQUARIUM,Aqours
Kowareyasuki,Guilty Kiss
Landing action Yeah!!,Aqours
Manatsu wa Dare no Mono?,Dia Kurosawa and Ruby Kurosawa
Marine Border Parasol,"Chika Takami, Riko Sakurauchi, and You Watanabe"
LONELY TUNING,AZALEA
Mattete Ai no Uta,Aqours
Mijuku DREAMER,Aqours
MIRACLE WAVE,Aqours
Mirai no Bokura wa Shitteru yo,Aqours
MY Mai☆TONIGHT,Aqours
Mitaiken HORIZON,Aqours
MIRAI TICKET,Aqours
Natsu e no Tobira Never end ver.,"Riko Sakurauchi, Hanamaru Kunikida, and Mari Ohara"
Natsu no Owari no Amaoto ga,Chika Takami and Kanan Matsuura
New winding road,Mari Ohara
Next SPARKLING!!,Aqours
No.10,Aqours
Over The Next Rainbow,Saint Aqours Snow
Omoi yo Hitotsu ni Nare,"Chika Takami, Kanan Matsuura, Dia Kurosawa, You Watanabe, Yoshiko Tsushima, Hanamaru Kunikida, Mari Ohara, and Ruby Kurosawa"
P.S. no Mukougawa,CYaRon!
Pops heart de Odorun damon!,Aqours
RED GEM WINK,Ruby Kurosawa
Pianoforte Monologue,Riko Sakurauchi
Sakana ka Nanda ka?,Kanan Matsuura
One More Sunshine Story,Chika Takami
Sakura Bye Bye,CYaRon!
Oyasuminasan!,Hanamaru Kunikida
Seinaru Hi no Inori,Aqours
Shoujo Ijou no Koi ga Shitai,Aqours
Shadow gate to love,Guilty Kiss
Sora mo Kokoro mo Hareru kara,"Chika Takami, Riko Sakurauchi, and You Watanabe"
SKY JOURNEY,Aqours
Step! ZERO to ONE,Aqours
Sotsugyou desu ne,AZALEA
Strawberry Trapper,Guilty Kiss
Taiyou o Oikakero!,Aqours
Sunshine Pikkapika Ondo,Aqours
Thrilling・One Way,Aqours
Tokimeki Bunruigaku,AZALEA
Todokanai Hoshi da to Shitemo,Aqours
"Thank you, FRIENDS!!",Aqours
Torikoriko PLEASE!!,AZALEA
Waku-Waku-Week!,"Yoshiko Tsushima, Hanamaru Kunikida, and Ruby Kurosawa"
WATER BLUE NEW WORLD,Aqours
