Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
"Aishiteru Banzai!, START:DASH!!","Snow halation, Yume no Tobira","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LONELIEST BABY, Mermaid festa vol.1, MOMENT RING, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","CheerDay CheerGirl!, Pure girls project, WAO-WAO Powerful day!","Beat in Angel, Garasu no Hanazono, Soldier game","Daring!!, Watashitachi wa Mirai no Hana",Shocking Party,Watashitachi wa Mirai no Hana,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Mogyutto ""love"" de Sekkin Chuu!, Snow halation, Wonderful Rush, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo, Thrilling?One Way","Guilty!? Farewell party, Strawberry Trapper",,"Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Natsu e no Tobira Never end ver.","In this unstable world, RED GEM WINK",CRASH MIND,Strawberry Trapper,"Koi ni Naritai AQUARIUM, Mijuku DREAMER, MIRACLE WAVE, MIRAI TICKET, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Riko Sakurauchi (VA Aida Rikako),"CHASE!, Evergreen, Nemureru Mori ni Ikitai na",Kanata Konoe (VA Akari Kito)
"START:DASH!!, Susume?Tomorrow","KiRa-KiRa Sensation!, Snow halation",,"LOVELESS WORLD, MOMENT RING",PSYCHIC FIRE,,,,Watashitachi wa Mirai no Hana,,LOVELESS WORLD,,Umi Sonoda (VA Suzuko Mimori),,"MY Mai?TONIGHT, WATER BLUE NEW WORLD",,"Landing action Yeah!!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper",,,,In this unstable world,DROPOUT!?,DROPOUT!?,,Yoshiko Tsushima (Va Kobayashi Aika),,
"No brand girls, START:DASH!!",Snow halation,"Angelic Angel, Hello, Hoshi o Kazoete","Arashi no Naka no Koi dakara, LONELIEST BABY, LOVELESS WORLD, Mermaid festa vol.1, Paradise Live, Shangri-La Shower","Cutie Panther, PSYCHIC FIRE, Saitei de Saikou no Paradiso","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","Love marginal, Nightingale Love Song, NO EXIT ORION","Anemone heart, Soldier game, Zurui yo Magnetic today","Daring!!, Kodoku na Heaven, Koi no Signal Rin rin rin!, Nawatobi, Spicaterrible, Yume Naki Yume wa Yume ja nai",Private Wars,Soldier game,,Maki Nishikino (VA Pile),Mijuku DREAMER,MY Mai?TONIGHT,Hop? Stop? Nonstop!,Daydream Warrior,"Shadow gate to love, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","G Senjou no Cinderella, Natsu no Owari no Amaoto ga","In this unstable world, WHITE FIRST LOVE",DROPOUT!?,In this unstable world,MY Mai?TONIGHT,Yoshiko Tsushima (Va Kobayashi Aika),Starlight,Karin Asaka (VA Miyu Kubota)
"Bokura wa Ima no Naka de, No brand girls","Dancing stars on me!, Snow halation","Hello, Hoshi o Kazoete, SUNNY DAY SONG","Baby maybe Koi no Button, COLORFUL VOICE, Super LOVE=Super LIVE!, Takaramonozu, Wonderful Rush, Yuujou No Change","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","CheerDay CheerGirl!, Sweet&sweet holiday, UNBALANCED LOVE","Beat in Angel, Mermaid festa vol.2 ~Passionate~, Soldier game","Blueberry?Train, Daring!!, Nawatobi, NEURON,NEURON!!, Spicaterrible, Yume?ONCE AGAIN",Shocking Party,Snow halation,"Angelic Angel, Dancing stars on me!, Love wing bell, No brand girls, Snow halation, SUNNY DAY SONG",Eli Ayase (VA Yoshino Nanjo),"Kimeta yo Hand in Hand, Omoi yo Hitotsu ni Nare","Awaken the power, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Over The Next Rainbow","Daydream Warrior, Jump up HIGH!!, No.10, Step! ZERO to ONE, Thank you, FRIENDS!!","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, LONELY TUNING","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Jimo Ai ? Mantan ? Summer Life, Marine Border Parasol","In this unstable world, Oyasuminasan!",Believe again,WATER BLUE NEW WORLD,"Awaken the power, MIRACLE WAVE, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, WONDERFUL STORIES",Mari Ohara (VA Suzuki Aina),"CHASE!, Diamond, Evergreen",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, START:DASH!!",Dancing stars on me!,"Hello, Hoshi o Kazoete","Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, WILD STARS, Wonderful Rush","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Sweet&sweet holiday, UNBALANCED LOVE","After school NAVIGATORS, Garasu no Hanazono, Storm in Lover","Daring!!, Koi no Signal Rin rin rin!, Spicaterrible",Shocking Party,Mermaid festa vol.1,"Hello, Hoshi o Kazoete, START:DASH!!",Rin Hoshizora (VA Riho Iida),,,,,,,,,,,,,,Yume e no Ippo,Ayumu Uehara (VA Aguri Onishi)
"Bokura wa Ima no Naka de, Korekara no Someday","Oh,Love&Peace!",SUNNY DAY SONG,"Music S.T.A.R.T!!, LOVELESS WORLD, Mermaid festa vol.1, Wonderful Rush",PSYCHIC FIRE,"A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love",UNBALANCED LOVE,Listen to my heart!!,Yuuki no Reason,Private Wars,,"Bokura no LIVE Kimi to no LIFE, Bokura wa Ima no Naka de, START:DASH!!, Susume?Tomorrow, Wonderful Rush",Eli Ayase (VA Yoshino Nanjo),"MIRAI TICKET, Omoi yo Hitotsu ni Nare",Awaken the power,,"Landing action Yeah!!, Step! ZERO to ONE, Thrilling?One Way","Kowareyasuki, Shadow gate to love",Torikoriko PLEASE!!,Genki Zenkai DAY! DAY! DAY!,"G Senjou no Cinderella, Waku-Waku-Week!","Oyasuminasan!, WHITE FIRST LOVE",CRASH MIND,MIRAI TICKET,"Awaken the power, MIRAI TICKET",Dia Kurosawa (VA Komiya Arisa),,
"Kitto Seishun ga Kikoeru, Korekara no Someday","Donna Toki mo Zutto, Yume no Tobira","Future style, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Dreamin' Go! Go!!, ENDLESS PARADE, LOVELESS WORLD, Ruteshi Kisuki Shiteru, Soshite Saigo no Page ni wa","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Saitei de Saikou no Paradiso","A-NO-NE-GA-N-BA-RE!, Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden","CheerDay CheerGirl!, Eien Friends, MUSEUM de Dou Shitai?","After school NAVIGATORS, Soldier game, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Blueberry?Train, Daring!!, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,Onaji Hoshi ga Mitai,"Angelic Angel, Bokura wa Ima no Naka de, Shocking Party",Kotori Minami (VA Aya Uchida),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","Awaken the power, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Next SPARKLING!!","Daydream Warrior, Hop?Step?Waai!, Kimi no Hitomi o Meguru Bouken, SKY JOURNEY, Thrilling?One Way",Strawberry Trapper,"Sotsugyou desu ne, Tokimeki Bunruigaku","Kinmirai Happy End, Sakura Bye Bye","Hajimari Road, Natsu no Owari no Amaoto ga","New winding road, RED GEM WINK",Believe again,Hajimari Road,"Awaken the power, Believe again, Hop? Stop? Nonstop!, Mijuku DREAMER, Next SPARKLING!!, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),"Doki Pipo ? Emotion, Evergreen, Starlight",Karin Asaka (VA Miyu Kubota)
"START:DASH!!, Wonder zone","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Kaguya no Shiro de Odoritai, Korekara, Mogyutto ""love"" de Sekkin Chuu!, Paradise Live, Shangri-La Shower, Soshite Saigo no Page ni wa","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Trouble Busters","Kimi no Kuse ni!, Otohime Heart de Love Kyuuden, Shunjou Romantic","NO EXIT ORION, Sweet&sweet holiday","Beat in Angel, Garasu no Hanazono, Soldier game","Blueberry?Train, Daring!!, Spicaterrible, Yume Naki Yume wa Yume ja nai",Private Wars,PSYCHIC FIRE,"Angelic Angel, Mogyutto ""love"" de Sekkin Chuu!, Snow halation, SUNNY DAY SONG, Wonder zone, ??HEARTBEAT",Kotori Minami (VA Aya Uchida),"MIRAI TICKET, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, WONDERFUL STORIES","Hop? Stop? Nonstop!, Kiseki Hikaru","""MY LIST"" to you!, Koi ni Naritai AQUARIUM, Landing action Yeah!!, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!","Guilty!? Farewell party, Shadow gate to love","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, P.S. no Mukougawa","Jimo Ai ? Mantan ? Summer Life, Marine Border Parasol","In this unstable world, Oyasuminasan!",Believe again,Yuuki wa doko ni? Kimi no Mune ni!,"Awaken the power, Believe again, Koi ni Naritai AQUARIUM, MIRACLE WAVE, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Evergreen, Meccha Going!!",Ai Miyashita (VA Natsumi Murakami)
"Bokura wa Ima no Naka de, START:DASH!!","Oh,Love&Peace!, Snow halation","Future style, ??HEARTBEAT","Mermaid festa vol.1, MOMENT RING","Cutie Panther, Love Novels, PSYCHIC FIRE","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","CheerDay CheerGirl!, Love marginal, Puwa Puwa-O!","Beat in Angel, Kokuhaku Biyori, desu!, Otome Shiki Ren'ai Juku","Blueberry?Train, Junai Lens, Kodoku na Heaven, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,CheerDay CheerGirl!,??HEARTBEAT,Umi Sonoda (VA Suzuko Mimori),Omoi yo Hitotsu ni Nare,"MIRACLE WAVE, MY Mai?TONIGHT",,"Pops heart de Odorun damon!, Sunshine Pikkapika Ondo","Kowareyasuki, Shadow gate to love",GALAXY HidE and SeeK,"Genki Zenkai DAY! DAY! DAY!, Kaigandoori de Matteru yo",Waku-Waku-Week!,RED GEM WINK,SELF CONTROL!!,GALAXY HidE and SeeK,MIRACLE WAVE,Mari Ohara (VA Suzuki Aina),,
START:DASH!!,Snow halation,"Hello, Hoshi o Kazoete",Mermaid festa vol.1,Cutie Panther,A-NO-NE-GA-N-BA-RE!,Eien Friends,"Beat in Angel, Soldier game",Koi no Signal Rin rin rin!,Shocking Party,"Hello, Hoshi o Kazoete",Snow halation,Hanayo Koizumi (VA Yurika Kubo),Mijuku DREAMER,MY Mai?TONIGHT,Tousou Meisou Mobius Loop,Jingle Bells ga Tomaranai,Shadow gate to love,GALAXY HidE and SeeK,Yozora wa Nandemo Shitteru no?,"Natsu e no Tobira Never end ver., Natsu no Owari no Amaoto ga",In this unstable world,Believe again,Tousou Meisou Mobius Loop,"Mijuku DREAMER, Tousou Meisou Mobius Loop",Chika Takami (VA Inami Anju),Evergreen,Ai Miyashita (VA Natsumi Murakami)
"Aishiteru Banzai!, START:DASH!!","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","HEART to HEART!, Korekara, LONELIEST BABY, Mi wa µ'sic no Mi, MOMENT RING, Natsuiro Egao de 1,2,Jump!","Cutie Panther, Love Novels, PSYCHIC FIRE","Omoide Ijou ni Naritakute, Otohime Heart de Love Kyuuden, Shunjou Romantic","MUSEUM de Dou Shitai?, Puwa Puwa-O!, WAO-WAO Powerful day!","Beat in Angel, Garasu no Hanazono, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Daring!!, Himitsu to Hanazono, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,Yume no Tobira,Bokutachi wa Hitotsu no Hikari,Umi Sonoda (VA Suzuko Mimori),"Aozora Jumping Heart, Omoi yo Hitotsu ni Nare","Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT","Brightest Melody, Hop? Stop? Nonstop!","Daydream Warrior, Jump up HIGH!!, Kimi no Hitomi o Meguru Bouken, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Hajimari Road, Marine Border Parasol","In this unstable world, New winding road",Believe again,Brightest Melody,Brightest Melody,Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Starlight, TOKIMEKI Runners",Setsuna Yuki (VA Tomori Kusunoki)
